iter	RMSE
0	148655.414
1	144517.3139
2	140547.1507
3	136770.3012
4	133243.2169
5	129715.0832
6	126436.8182
7	123188.3796
8	120076.9897
9	117247.8129
10	114274.4919
11	111760.1942
12	109140.6693
13	106502.9755
14	103782.7159
15	101264.7073
16	99125.66043
17	96847.44063
18	94459.53333
19	92211.49028
20	90021.82669
21	87840.40903
22	85748.24678
23	83653.17904
24	81795.82424
25	79820.96611
26	78105.55515
27	76499.66947
28	74729.555
29	73261.91188
30	71738.72233
31	70290.64927
32	68849.82941
33	67344.72844
34	65810.06546
35	64494.29856
36	63146.45571
37	62149.81166
38	60930.84185
39	59765.87545
40	58862.33495
41	57908.0111
42	56676.66453
43	55609.12094
44	54498.27889
45	53463.35646
46	52677.11019
47	51638.07948
48	50699.62421
49	49858.22327
50	49107.36691
51	48187.00744
52	47492.61628
53	46724.98152
54	45780.24809
55	45027.51753
56	44258.618
57	43375.60856
58	42610.8946
59	41996.47681
60	41256.30862
61	40444.86155
62	39822.83029
63	39172.529
64	38564.20875
65	37830.84317
66	37249.35011
67	36634.01576
68	36065.21969
69	35568.11459
70	35082.38483
71	34435.66837
72	33782.70588
73	33239.8509
74	32768.65136
75	32156.66058
76	31703.92019
77	31180.58741
78	30711.393
79	30168.73025
80	29672.63948
81	29276.25499
82	28779.06652
83	28389.87908
84	27895.54074
85	27523.19291
86	27190.32787
87	26834.09996
88	26377.63949
89	25914.75795
90	25470.69917
91	25127.04913
92	24720.36185
93	24394.01109
94	24096.32015
95	23783.2583
96	23391.40692
97	23085.58617
98	22829.17647
99	22479.13699
100	22228.07001
101	22004.17192
102	21730.43412
103	21386.50959
104	21135.63866
105	20890.168
106	20649.4576
107	20402.09961
108	20175.35339
109	19828.26055
110	19520.51941
111	19245.41928
112	18931.68075
113	18725.31859
114	18536.91022
115	18262.56428
116	18021.74146
117	17822.2957
118	17631.14387
119	17348.5579
120	17100.8696
121	16922.45919
122	16684.46224
123	16503.85238
124	16294.77227
125	16072.67326
126	15910.67679
127	15702.7045
128	15553.46329
129	15399.56525
130	15194.50547
131	15066.09297
132	14877.23431
133	14756.35859
134	14591.25204
135	14404.28594
136	14236.85225
137	14105.65111
138	13978.12749
139	13859.24976
140	13711.89938
141	13546.47903
142	13400.16457
143	13251.93729
144	13132.17396
145	12975.24968
146	12845.66484
147	12704.84619
148	12593.12058
149	12490.20839
150	12390.28517
151	12251.47318
152	12118.00431
153	11956.61686
154	11801.95168
155	11690.44381
156	11594.52434
157	11479.72087
158	11368.83491
159	11260.01048
160	11171.19354
161	11081.58017
162	10987.17862
163	10886.62852
164	10797.86994
165	10702.56278
166	10622.1838
167	10542.21789
168	10468.25963
169	10369.10415
170	10272.41709
171	10171.40873
172	10100.7303
173	10032.33917
174	9962.880313
175	9875.195832
176	9788.373261
177	9711.780217
178	9656.021031
179	9570.245849
180	9485.256816
181	9438.674753
182	9389.173224
183	9316.934355
184	9258.841654
