iter	Passed	Remaining
0	29	31436
1	51	27630
2	73	26081
3	98	26361
4	122	26244
5	147	26210
6	173	26486
7	200	26677
8	226	26772
9	243	25904
10	262	25388
11	295	26126
12	321	26194
13	347	26277
14	372	26259
15	396	26209
16	422	26243
17	449	26369
18	476	26449
19	503	26489
20	522	26197
21	543	25957
22	563	25738
23	583	25484
24	608	25493
25	624	25160
26	642	24890
27	659	24622
28	677	24406
29	700	24345
30	718	24146
31	736	23968
32	758	23900
33	779	23821
34	799	23706
35	819	23617
36	848	23769
37	869	23682
38	901	23894
39	931	24060
40	952	23973
41	970	23820
42	995	23835
43	1016	23760
44	1045	23889
45	1066	23799
46	1099	24011
47	1128	24105
48	1149	24021
49	1173	24001
50	1192	23887
51	1208	23734
52	1223	23543
53	1242	23441
54	1258	23290
55	1274	23139
56	1288	22966
57	1303	22816
58	1317	22645
59	1332	22492
60	1348	22365
61	1364	22254
62	1379	22117
63	1395	21994
64	1410	21874
65	1426	21763
66	1442	21666
67	1458	21559
68	1473	21438
69	1487	21314
70	1502	21200
71	1517	21092
72	1534	21025
73	1550	20927
74	1566	20839
75	1582	20756
76	1604	20758
77	1624	20726
78	1661	20899
79	1690	20985
80	1720	21073
81	1750	21149
82	1766	21072
83	1787	21048
84	1802	20950
85	1817	20857
86	1831	20757
87	1847	20679
88	1863	20607
89	1884	20586
90	1899	20499
91	1915	20419
92	1930	20343
93	1946	20277
94	1962	20204
95	1977	20126
96	2012	20249
97	2033	20230
98	2056	20229
99	2071	20153
100	2086	20080
101	2102	20010
102	2116	19931
103	2134	19888
104	2155	19869
105	2181	19897
106	2198	19845
107	2218	19826
108	2241	19821
109	2260	19789
110	2280	19760
111	2299	19732
112	2321	19721
113	2342	19709
114	2367	19720
115	2386	19686
116	2409	19689
117	2428	19655
118	2448	19628
119	2463	19562
120	2482	19529
121	2513	19593
122	2548	19680
123	2578	19733
124	2611	19803
125	2647	19895
126	2666	19865
127	2692	19876
128	2723	19931
129	2753	19973
130	2776	19964
131	2792	19907
132	2808	19847
133	2824	19792
134	2843	19755
135	2859	19703
136	2875	19648
137	2894	19611
138	2915	19591
139	2932	19539
140	2947	19485
141	2965	19445
142	2989	19440
143	3009	19417
144	3030	19398
145	3056	19409
146	3078	19394
147	3092	19330
148	3107	19268
149	3121	19204
150	3134	19139
151	3148	19077
152	3162	19015
153	3177	18962
154	3193	18914
155	3215	18901
156	3239	18898
157	3263	18898
158	3279	18850
159	3295	18804
160	3313	18767
161	3334	18749
162	3350	18704
163	3365	18651
164	3380	18601
165	3397	18562
166	3421	18562
167	3442	18546
168	3465	18534
169	3489	18534
170	3510	18515
171	3528	18481
172	3552	18481
173	3576	18480
174	3592	18435
175	3609	18394
176	3625	18352
177	3644	18322
178	3663	18295
179	3679	18252
180	3695	18211
181	3711	18167
182	3728	18133
183	3745	18097
184	3766	18079
